rental_date,st_property
2014-01-31,ST100
2014-01-31,ST106
2014-01-31,ST107
2014-01-31,ST109
2014-01-31,ST113
2014-01-31,ST114
2014-01-31,ST116
2014-01-31,ST118
2014-01-31,ST119
2014-01-31,ST123
2014-01-31,ST126
2014-01-31,ST127
2014-01-31,ST128
2014-01-31,ST13
2014-01-31,ST131
2014-01-31,ST134
2014-01-31,ST137
2014-01-31,ST139
2014-01-31,ST14
2014-01-31,ST142
2014-01-31,ST143
2014-01-31,ST147
2014-01-31,ST149
2014-01-31,ST15
2014-01-31,ST150
2014-01-31,ST152
2014-01-31,ST154
2014-01-31,ST155
2014-01-31,ST156
2014-01-31,ST160
2014-01-31,ST161
2014-01-31,ST165
2014-01-31,ST166
2014-01-31,ST168
2014-01-31,ST169
2014-01-31,ST170
2014-01-31,ST172
2014-01-31,ST175
2014-01-31,ST176
2014-01-31,ST178
2014-01-31,ST179
2014-01-31,ST18
2014-01-31,ST180
2014-01-31,ST181
2014-01-31,ST182
2014-01-31,ST185
2014-01-31,ST186
2014-01-31,ST191
2014-01-31,ST194
2014-01-31,ST196
2014-01-31,ST198
2014-01-31,ST199
2014-01-31,ST2
2014-01-31,ST203
2014-01-31,ST204
2014-01-31,ST205
2014-01-31,ST206
2014-01-31,ST209
2014-01-31,ST220
2014-01-31,ST221
2014-01-31,ST222
2014-01-31,ST224
2014-01-31,ST225
2014-01-31,ST226
2014-01-31,ST230
2014-01-31,ST231
2014-01-31,ST232
2014-01-31,ST235
2014-01-31,ST243
2014-01-31,ST244
2014-01-31,ST3
2014-01-31,ST32
2014-01-31,ST33
2014-01-31,ST35
2014-01-31,ST355
2014-01-31,ST356
2014-01-31,ST357
2014-01-31,ST359
2014-01-31,ST360
2014-01-31,ST363
2014-01-31,ST366
2014-01-31,ST37
2014-01-31,ST38
2014-01-31,ST40
2014-01-31,ST42
2014-01-31,ST422
2014-01-31,ST423
2014-01-31,ST425
2014-01-31,ST426
2014-01-31,ST427
2014-01-31,ST43
2014-01-31,ST47
2014-01-31,ST488
2014-01-31,ST49
2014-01-31,ST50
2014-01-31,ST513
2014-01-31,ST514
2014-01-31,ST515
2014-01-31,ST519
2014-01-31,ST67
2014-01-31,ST69
2014-01-31,ST7
2014-01-31,ST71
2014-01-31,ST72
2014-01-31,ST74
2014-01-31,ST75
2014-01-31,ST76
2014-01-31,ST77
2014-01-31,ST79
2014-01-31,ST80
2014-01-31,ST81
2014-01-31,ST82
2014-01-31,ST85
2014-01-31,ST88
2014-01-31,ST89
2014-01-31,ST91
2014-01-31,ST92
2014-01-31,ST95
2014-01-31,ST97
2014-01-31,ST99
2014-02-01,ST10
2014-02-01,ST102
2014-02-01,ST106
2014-02-01,ST107
2014-02-01,ST112
2014-02-01,ST113
2014-02-01,ST114
2014-02-01,ST118
2014-02-01,ST12
2014-02-01,ST121
2014-02-01,ST122
2014-02-01,ST126
2014-02-01,ST129
2014-02-01,ST138
2014-02-01,ST14
2014-02-01,ST140
2014-02-01,ST142
2014-02-01,ST143
2014-02-01,ST149
2014-02-01,ST15
2014-02-01,ST151
2014-02-01,ST153
2014-02-01,ST155
2014-02-01,ST157
2014-02-01,ST159
2014-02-01,ST161
2014-02-01,ST162
2014-02-01,ST163
2014-02-01,ST164
2014-02-01,ST165
2014-02-01,ST166
2014-02-01,ST167
2014-02-01,ST17
2014-02-01,ST170
2014-02-01,ST171
2014-02-01,ST172
2014-02-01,ST178
2014-02-01,ST181
2014-02-01,ST185
2014-02-01,ST19
2014-02-01,ST192
2014-02-01,ST195
2014-02-01,ST196
2014-02-01,ST197
2014-02-01,ST199
2014-02-01,ST202
2014-02-01,ST204
2014-02-01,ST205
2014-02-01,ST206
2014-02-01,ST207
2014-02-01,ST21
2014-02-01,ST211
2014-02-01,ST218
2014-02-01,ST220
2014-02-01,ST224
2014-02-01,ST227
2014-02-01,ST228
2014-02-01,ST232
2014-02-01,ST235
2014-02-01,ST239
2014-02-01,ST242
2014-02-01,ST243
2014-02-01,ST34
2014-02-01,ST355
2014-02-01,ST358
2014-02-01,ST360
2014-02-01,ST365
2014-02-01,ST366
2014-02-01,ST38
2014-02-01,ST40
2014-02-01,ST41
2014-02-01,ST423
2014-02-01,ST424
2014-02-01,ST427
2014-02-01,ST45
2014-02-01,ST47
2014-02-01,ST48
2014-02-01,ST488
2014-02-01,ST5
2014-02-01,ST50
2014-02-01,ST512
2014-02-01,ST515
2014-02-01,ST519
2014-02-01,ST52
2014-02-01,ST520
2014-02-01,ST53
2014-02-01,ST54
2014-02-01,ST69
2014-02-01,ST7
2014-02-01,ST70
2014-02-01,ST71
2014-02-01,ST72
2014-02-01,ST73
2014-02-01,ST75
2014-02-01,ST76
2014-02-01,ST8
2014-02-01,ST83
2014-02-01,ST84
2014-02-01,ST87
2014-02-01,ST89
2014-02-01,ST9
2014-02-01,ST96
2014-02-01,ST97
2014-02-02,ST10
2014-02-02,ST102
2014-02-02,ST105
2014-02-02,ST106
2014-02-02,ST107
2014-02-02,ST111
2014-02-02,ST113
2014-02-02,ST114
2014-02-02,ST115
2014-02-02,ST116
2014-02-02,ST117
2014-02-02,ST12
2014-02-02,ST121
2014-02-02,ST123
2014-02-02,ST124
2014-02-02,ST125
2014-02-02,ST13
2014-02-02,ST134
2014-02-02,ST136
2014-02-02,ST137
2014-02-02,ST138
2014-02-02,ST139
2014-02-02,ST14
2014-02-02,ST142
2014-02-02,ST149
2014-02-02,ST15
2014-02-02,ST150
2014-02-02,ST151
2014-02-02,ST152
2014-02-02,ST156
2014-02-02,ST16
2014-02-02,ST160
2014-02-02,ST162
2014-02-02,ST163
2014-02-02,ST164
2014-02-02,ST165
2014-02-02,ST166
2014-02-02,ST167
2014-02-02,ST168
2014-02-02,ST170
2014-02-02,ST173
2014-02-02,ST176
2014-02-02,ST181
2014-02-02,ST182
2014-02-02,ST185
2014-02-02,ST187
2014-02-02,ST191
2014-02-02,ST192
2014-02-02,ST196
2014-02-02,ST198
2014-02-02,ST20
2014-02-02,ST200
2014-02-02,ST202
2014-02-02,ST21
2014-02-02,ST211
2014-02-02,ST220
2014-02-02,ST221
2014-02-02,ST222
2014-02-02,ST223
2014-02-02,ST225
2014-02-02,ST230
2014-02-02,ST235
2014-02-02,ST237
2014-02-02,ST241
2014-02-02,ST244
2014-02-02,ST32
2014-02-02,ST35
2014-02-02,ST355
2014-02-02,ST357
2014-02-02,ST359
2014-02-02,ST361
2014-02-02,ST362
2014-02-02,ST363
2014-02-02,ST366
2014-02-02,ST37
2014-02-02,ST4
2014-02-02,ST40
2014-02-02,ST41
2014-02-02,ST42
2014-02-02,ST422
2014-02-02,ST423
2014-02-02,ST424
2014-02-02,ST425
2014-02-02,ST426
2014-02-02,ST427
2014-02-02,ST428
2014-02-02,ST43
2014-02-02,ST44
2014-02-02,ST45
2014-02-02,ST46
2014-02-02,ST47
2014-02-02,ST48
2014-02-02,ST488
2014-02-02,ST512
2014-02-02,ST516
2014-02-02,ST519
2014-02-02,ST53
2014-02-02,ST54
2014-02-02,ST70
2014-02-02,ST71
2014-02-02,ST72
2014-02-02,ST73
2014-02-02,ST74
2014-02-02,ST75
2014-02-02,ST76
2014-02-02,ST77
2014-02-02,ST8
2014-02-02,ST84
2014-02-02,ST87
2014-02-02,ST88
2014-02-02,ST91
2014-02-02,ST97
2014-02-03,ST10
2014-02-03,ST100
2014-02-03,ST103
2014-02-03,ST104
2014-02-03,ST105
2014-02-03,ST106
2014-02-03,ST107
2014-02-03,ST108
2014-02-03,ST111
2014-02-03,ST112
2014-02-03,ST115
2014-02-03,ST118
2014-02-03,ST12
2014-02-03,ST120
2014-02-03,ST121
2014-02-03,ST123
2014-02-03,ST13
2014-02-03,ST131
2014-02-03,ST133
2014-02-03,ST134
2014-02-03,ST135
2014-02-03,ST137
2014-02-03,ST139
2014-02-03,ST14
2014-02-03,ST142
2014-02-03,ST143
2014-02-03,ST145
2014-02-03,ST147
2014-02-03,ST151
2014-02-03,ST155
2014-02-03,ST156
2014-02-03,ST157
2014-02-03,ST158
2014-02-03,ST161
2014-02-03,ST162
2014-02-03,ST163
2014-02-03,ST165
2014-02-03,ST166
2014-02-03,ST17
2014-02-03,ST170
2014-02-03,ST171
2014-02-03,ST173
2014-02-03,ST174
2014-02-03,ST175
2014-02-03,ST176
2014-02-03,ST178
2014-02-03,ST180
2014-02-03,ST181
2014-02-03,ST182
2014-02-03,ST185
2014-02-03,ST186
2014-02-03,ST19
2014-02-03,ST191
2014-02-03,ST196
2014-02-03,ST199
2014-02-03,ST200
2014-02-03,ST202
2014-02-03,ST203
2014-02-03,ST205
2014-02-03,ST206
2014-02-03,ST207
2014-02-03,ST208
2014-02-03,ST209
2014-02-03,ST21
2014-02-03,ST211
2014-02-03,ST220
2014-02-03,ST221
2014-02-03,ST222
2014-02-03,ST225
2014-02-03,ST226
2014-02-03,ST227
2014-02-03,ST229
2014-02-03,ST235
2014-02-03,ST236
2014-02-03,ST237
2014-02-03,ST239
2014-02-03,ST241
2014-02-03,ST242
2014-02-03,ST243
2014-02-03,ST244
2014-02-03,ST3
2014-02-03,ST31
2014-02-03,ST32
2014-02-03,ST33
2014-02-03,ST355
2014-02-03,ST357
2014-02-03,ST358
2014-02-03,ST359
2014-02-03,ST36
2014-02-03,ST360
2014-02-03,ST361
2014-02-03,ST363
2014-02-03,ST366
2014-02-03,ST37
2014-02-03,ST39
2014-02-03,ST41
2014-02-03,ST42
2014-02-03,ST423
2014-02-03,ST428
2014-02-03,ST45
2014-02-03,ST47
2014-02-03,ST49
2014-02-03,ST5
2014-02-03,ST512
2014-02-03,ST513
2014-02-03,ST516
2014-02-03,ST517
2014-02-03,ST519
2014-02-03,ST52
2014-02-03,ST6
2014-02-03,ST67
2014-02-03,ST69
2014-02-03,ST7
2014-02-03,ST70
2014-02-03,ST71
2014-02-03,ST72
2014-02-03,ST77
2014-02-03,ST78
2014-02-03,ST8
2014-02-03,ST81
2014-02-03,ST83
2014-02-03,ST84
2014-02-03,ST88
2014-02-03,ST89
2014-02-03,ST9
2014-02-03,ST94
2014-02-03,ST95
2014-02-03,ST96
2014-02-03,ST97
2014-02-04,ST103
2014-02-04,ST11
2014-02-04,ST111
2014-02-04,ST115
2014-02-04,ST119
2014-02-04,ST123
2014-02-04,ST126
2014-02-04,ST130
2014-02-04,ST131
2014-02-04,ST133
2014-02-04,ST134
2014-02-04,ST139
2014-02-04,ST142
2014-02-04,ST143
2014-02-04,ST145
2014-02-04,ST147
2014-02-04,ST15
2014-02-04,ST150
2014-02-04,ST152
2014-02-04,ST153
2014-02-04,ST156
2014-02-04,ST157
2014-02-04,ST16
2014-02-04,ST160
2014-02-04,ST162
2014-02-04,ST163
2014-02-04,ST164
2014-02-04,ST165
2014-02-04,ST166
2014-02-04,ST168
2014-02-04,ST17
2014-02-04,ST170
2014-02-04,ST173
2014-02-04,ST174
2014-02-04,ST177
2014-02-04,ST178
2014-02-04,ST181
2014-02-04,ST186
2014-02-04,ST19
2014-02-04,ST191
2014-02-04,ST194
2014-02-04,ST200
2014-02-04,ST201
2014-02-04,ST204
2014-02-04,ST205
2014-02-04,ST207
2014-02-04,ST208
2014-02-04,ST211
2014-02-04,ST218
2014-02-04,ST220
2014-02-04,ST222
2014-02-04,ST223
2014-02-04,ST224
2014-02-04,ST226
2014-02-04,ST231
2014-02-04,ST235
2014-02-04,ST238
2014-02-04,ST239
2014-02-04,ST242
2014-02-04,ST243
2014-02-04,ST355
2014-02-04,ST357
2014-02-04,ST358
2014-02-04,ST360
2014-02-04,ST361
2014-02-04,ST363
2014-02-04,ST37
2014-02-04,ST38
2014-02-04,ST39
2014-02-04,ST4
2014-02-04,ST40
2014-02-04,ST41
2014-02-04,ST425
2014-02-04,ST426
2014-02-04,ST428
2014-02-04,ST43
2014-02-04,ST430
2014-02-04,ST47
2014-02-04,ST49
2014-02-04,ST50
2014-02-04,ST51
2014-02-04,ST513
2014-02-04,ST515
2014-02-04,ST516
2014-02-04,ST519
2014-02-04,ST52
2014-02-04,ST53
2014-02-04,ST69
2014-02-04,ST70
2014-02-04,ST71
2014-02-04,ST73
2014-02-04,ST76
2014-02-04,ST77
2014-02-04,ST8
2014-02-04,ST83
2014-02-04,ST84
2014-02-04,ST87
2014-02-04,ST88
2014-02-04,ST9
2014-02-04,ST91
2014-02-04,ST92
2014-02-04,ST97
2014-02-04,ST98
2014-02-04,ST99
2014-02-05,ST10
2014-02-05,ST102
2014-02-05,ST105
2014-02-05,ST109
2014-02-05,ST111
2014-02-05,ST113
2014-02-05,ST114
2014-02-05,ST115
2014-02-05,ST117
2014-02-05,ST118
2014-02-05,ST119
2014-02-05,ST12
2014-02-05,ST122
2014-02-05,ST127
2014-02-05,ST129
2014-02-05,ST13
2014-02-05,ST131
2014-02-05,ST133
2014-02-05,ST136
2014-02-05,ST139
2014-02-05,ST140
2014-02-05,ST141
2014-02-05,ST142
2014-02-05,ST145
2014-02-05,ST147
2014-02-05,ST15
2014-02-05,ST150
2014-02-05,ST151
2014-02-05,ST152
2014-02-05,ST153
2014-02-05,ST156
2014-02-05,ST157
2014-02-05,ST16
2014-02-05,ST161
2014-02-05,ST162
2014-02-05,ST167
2014-02-05,ST168
2014-02-05,ST173
2014-02-05,ST176
2014-02-05,ST178
2014-02-05,ST179
2014-02-05,ST180
2014-02-05,ST181
2014-02-05,ST182
2014-02-05,ST185
2014-02-05,ST19
2014-02-05,ST192
2014-02-05,ST196
2014-02-05,ST198
2014-02-05,ST2
2014-02-05,ST200
2014-02-05,ST202
2014-02-05,ST203
2014-02-05,ST204
2014-02-05,ST205
2014-02-05,ST207
2014-02-05,ST219
2014-02-05,ST220
2014-02-05,ST224
2014-02-05,ST225
2014-02-05,ST227
2014-02-05,ST230
2014-02-05,ST232
2014-02-05,ST239
2014-02-05,ST242
2014-02-05,ST3
2014-02-05,ST32
2014-02-05,ST34
2014-02-05,ST355
2014-02-05,ST357
2014-02-05,ST358
2014-02-05,ST359
2014-02-05,ST37
2014-02-05,ST39
2014-02-05,ST4
2014-02-05,ST40
2014-02-05,ST41
2014-02-05,ST424
2014-02-05,ST425
2014-02-05,ST426
2014-02-05,ST428
2014-02-05,ST44
2014-02-05,ST46
2014-02-05,ST47
2014-02-05,ST48
2014-02-05,ST488
2014-02-05,ST49
2014-02-05,ST512
2014-02-05,ST517
2014-02-05,ST52
2014-02-05,ST53
2014-02-05,ST67
2014-02-05,ST68
2014-02-05,ST7
2014-02-05,ST72
2014-02-05,ST76
2014-02-05,ST77
2014-02-05,ST8
2014-02-05,ST83
2014-02-05,ST86
2014-02-05,ST87
2014-02-05,ST9
2014-02-05,ST94
2014-02-05,ST96
2014-02-05,ST97
2014-02-06,ST10
2014-02-06,ST101
2014-02-06,ST103
2014-02-06,ST105
2014-02-06,ST107
2014-02-06,ST108
2014-02-06,ST109
2014-02-06,ST110
2014-02-06,ST111
2014-02-06,ST112
2014-02-06,ST114
2014-02-06,ST115
2014-02-06,ST116
2014-02-06,ST117
2014-02-06,ST118
2014-02-06,ST119
2014-02-06,ST122
2014-02-06,ST123
2014-02-06,ST125
2014-02-06,ST126
2014-02-06,ST127
2014-02-06,ST129
2014-02-06,ST13
2014-02-06,ST133
2014-02-06,ST134
2014-02-06,ST138
2014-02-06,ST140
2014-02-06,ST142
2014-02-06,ST147
2014-02-06,ST151
2014-02-06,ST152
2014-02-06,ST153
2014-02-06,ST155
2014-02-06,ST156
2014-02-06,ST157
2014-02-06,ST158
2014-02-06,ST159
2014-02-06,ST166
2014-02-06,ST168
2014-02-06,ST170
2014-02-06,ST171
2014-02-06,ST174
2014-02-06,ST175
2014-02-06,ST177
2014-02-06,ST178
2014-02-06,ST179
2014-02-06,ST18
2014-02-06,ST180
2014-02-06,ST181
2014-02-06,ST187
2014-02-06,ST191
2014-02-06,ST196
2014-02-06,ST199
2014-02-06,ST2
2014-02-06,ST201
2014-02-06,ST203
2014-02-06,ST204
2014-02-06,ST205
2014-02-06,ST207
2014-02-06,ST209
2014-02-06,ST21
2014-02-06,ST211
2014-02-06,ST222
2014-02-06,ST223
2014-02-06,ST224
2014-02-06,ST226
2014-02-06,ST229
2014-02-06,ST230
2014-02-06,ST231
2014-02-06,ST232
2014-02-06,ST236
2014-02-06,ST237
2014-02-06,ST238
2014-02-06,ST240
2014-02-06,ST244
2014-02-06,ST3
2014-02-06,ST31
2014-02-06,ST32
2014-02-06,ST34
2014-02-06,ST355
2014-02-06,ST356
2014-02-06,ST357
2014-02-06,ST358
2014-02-06,ST359
2014-02-06,ST363
2014-02-06,ST37
2014-02-06,ST40
2014-02-06,ST41
2014-02-06,ST42
2014-02-06,ST423
2014-02-06,ST424
2014-02-06,ST425
2014-02-06,ST426
2014-02-06,ST43
2014-02-06,ST44
2014-02-06,ST47
2014-02-06,ST48
2014-02-06,ST49
2014-02-06,ST490
2014-02-06,ST50
2014-02-06,ST51
2014-02-06,ST512
2014-02-06,ST513
2014-02-06,ST514
2014-02-06,ST516
2014-02-06,ST517
2014-02-06,ST53
2014-02-06,ST7
2014-02-06,ST70
2014-02-06,ST71
2014-02-06,ST72
2014-02-06,ST74
2014-02-06,ST75
2014-02-06,ST77
2014-02-06,ST79
2014-02-06,ST8
2014-02-06,ST80
2014-02-06,ST81
2014-02-06,ST84
2014-02-06,ST87
2014-02-06,ST88
2014-02-06,ST94
2014-02-06,ST96
2014-02-07,ST100
2014-02-07,ST101
2014-02-07,ST103
2014-02-07,ST105
2014-02-07,ST107
2014-02-07,ST11
2014-02-07,ST111
2014-02-07,ST115
2014-02-07,ST118
2014-02-07,ST12
2014-02-07,ST126
2014-02-07,ST13
2014-02-07,ST131
2014-02-07,ST134
2014-02-07,ST136
2014-02-07,ST138
2014-02-07,ST142
2014-02-07,ST143
2014-02-07,ST145
2014-02-07,ST146
2014-02-07,ST147
2014-02-07,ST149
2014-02-07,ST150
2014-02-07,ST152
2014-02-07,ST153
2014-02-07,ST157
2014-02-07,ST158
2014-02-07,ST16
2014-02-07,ST160
2014-02-07,ST163
2014-02-07,ST166
2014-02-07,ST17
2014-02-07,ST170
2014-02-07,ST171
2014-02-07,ST172
2014-02-07,ST173
2014-02-07,ST176
2014-02-07,ST177
2014-02-07,ST178
2014-02-07,ST179
2014-02-07,ST180
2014-02-07,ST181
2014-02-07,ST183
2014-02-07,ST186
2014-02-07,ST19
2014-02-07,ST191
2014-02-07,ST195
2014-02-07,ST196
2014-02-07,ST198
2014-02-07,ST20
2014-02-07,ST202
2014-02-07,ST203
2014-02-07,ST204
2014-02-07,ST206
2014-02-07,ST207
2014-02-07,ST211
2014-02-07,ST219
2014-02-07,ST222
2014-02-07,ST223
2014-02-07,ST225
2014-02-07,ST235
2014-02-07,ST237
2014-02-07,ST238
2014-02-07,ST240
2014-02-07,ST243
2014-02-07,ST33
2014-02-07,ST34
2014-02-07,ST357
2014-02-07,ST358
2014-02-07,ST359
2014-02-07,ST36
2014-02-07,ST360
2014-02-07,ST363
2014-02-07,ST365
2014-02-07,ST39
2014-02-07,ST40
2014-02-07,ST42
2014-02-07,ST423
2014-02-07,ST424
2014-02-07,ST425
2014-02-07,ST430
2014-02-07,ST46
2014-02-07,ST47
2014-02-07,ST48
2014-02-07,ST489
2014-02-07,ST5
2014-02-07,ST514
2014-02-07,ST53
2014-02-07,ST67
2014-02-07,ST70
2014-02-07,ST71
2014-02-07,ST77
2014-02-07,ST79
2014-02-07,ST8
2014-02-07,ST81
2014-02-07,ST83
2014-02-07,ST88
2014-02-07,ST89
2014-02-07,ST9
2014-02-07,ST91
2014-02-07,ST96
2014-02-07,ST97
2014-02-07,ST99
2014-02-08,ST101
2014-02-08,ST102
2014-02-08,ST106
2014-02-08,ST11
2014-02-08,ST112
2014-02-08,ST113
2014-02-08,ST114
2014-02-08,ST115
2014-02-08,ST116
2014-02-08,ST117
2014-02-08,ST119
2014-02-08,ST12
2014-02-08,ST122
2014-02-08,ST125
2014-02-08,ST126
2014-02-08,ST131
2014-02-08,ST133
2014-02-08,ST137
2014-02-08,ST138
2014-02-08,ST139
2014-02-08,ST14
2014-02-08,ST142
2014-02-08,ST143
2014-02-08,ST146
2014-02-08,ST147
2014-02-08,ST148
2014-02-08,ST151
2014-02-08,ST152
2014-02-08,ST155
2014-02-08,ST156
2014-02-08,ST158
2014-02-08,ST159
2014-02-08,ST160
2014-02-08,ST161
2014-02-08,ST162
2014-02-08,ST163
2014-02-08,ST165
2014-02-08,ST166
2014-02-08,ST167
2014-02-08,ST17
2014-02-08,ST170
2014-02-08,ST173
2014-02-08,ST178
2014-02-08,ST180
2014-02-08,ST181
2014-02-08,ST19
2014-02-08,ST191
2014-02-08,ST192
2014-02-08,ST194
2014-02-08,ST197
2014-02-08,ST199
2014-02-08,ST201
2014-02-08,ST202
2014-02-08,ST204
2014-02-08,ST205
2014-02-08,ST206
2014-02-08,ST208
2014-02-08,ST209
2014-02-08,ST211
2014-02-08,ST219
2014-02-08,ST220
2014-02-08,ST221
2014-02-08,ST222
2014-02-08,ST224
2014-02-08,ST227
2014-02-08,ST229
2014-02-08,ST230
2014-02-08,ST232
2014-02-08,ST240
2014-02-08,ST241
2014-02-08,ST242
2014-02-08,ST243
2014-02-08,ST31
2014-02-08,ST32
2014-02-08,ST35
2014-02-08,ST355
2014-02-08,ST356
2014-02-08,ST357
2014-02-08,ST358
2014-02-08,ST36
2014-02-08,ST360
2014-02-08,ST361
2014-02-08,ST363
2014-02-08,ST366
2014-02-08,ST39
2014-02-08,ST4
2014-02-08,ST40
2014-02-08,ST41
2014-02-08,ST422
2014-02-08,ST423
2014-02-08,ST424
2014-02-08,ST425
2014-02-08,ST427
2014-02-08,ST429
2014-02-08,ST44
2014-02-08,ST47
2014-02-08,ST48
2014-02-08,ST489
2014-02-08,ST49
2014-02-08,ST5
2014-02-08,ST512
2014-02-08,ST513
2014-02-08,ST514
2014-02-08,ST517
2014-02-08,ST53
2014-02-08,ST54
2014-02-08,ST69
2014-02-08,ST70
2014-02-08,ST71
2014-02-08,ST75
2014-02-08,ST76
2014-02-08,ST81
2014-02-08,ST83
2014-02-08,ST84
2014-02-08,ST87
2014-02-08,ST88
2014-02-08,ST90
2014-02-08,ST93
2014-02-08,ST96
2014-02-08,ST97
2014-02-08,ST99
2014-02-09,ST104
2014-02-09,ST107
2014-02-09,ST111
2014-02-09,ST115
2014-02-09,ST119
2014-02-09,ST125
2014-02-09,ST128
2014-02-09,ST13
2014-02-09,ST130
2014-02-09,ST131
2014-02-09,ST132
2014-02-09,ST134
2014-02-09,ST137
2014-02-09,ST138
2014-02-09,ST139
2014-02-09,ST14
2014-02-09,ST140
2014-02-09,ST142
2014-02-09,ST147
2014-02-09,ST148
2014-02-09,ST152
2014-02-09,ST153
2014-02-09,ST156
2014-02-09,ST157
2014-02-09,ST158
2014-02-09,ST16
2014-02-09,ST160
2014-02-09,ST162
2014-02-09,ST163
2014-02-09,ST164
